,Avg Temperature,Accident Count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Predicted
2022-04-02,4.84,11,0,0,0,0,0,1,0,13.93988824411859
2022-04-01,2.95,15,0,0,0,0,1,0,0,20.70776261091763
2022-03-31,4.25,18,0,0,0,1,0,0,0,18.37614507971938
2022-03-30,7.1,11,0,0,1,0,0,0,0,18.29898199284303
2022-03-29,1.95,19,0,1,0,0,0,0,0,18.864184878321417
2022-03-28,0.59,11,1,0,0,0,0,0,0,17.389021809188133
2022-03-27,5.45,14,0,0,0,0,0,0,1,10.280099137406594
2022-03-26,-0.2,9,0,0,0,0,0,1,0,15.044158241107477
2022-03-25,1.19,14,0,0,0,0,1,0,0,21.093380705104224
2022-03-24,1.5,17,0,0,0,1,0,0,0,18.978673351885934
2022-03-23,9.75,8,0,0,1,0,0,0,0,17.718363839664345
2022-03-22,7.1,8,0,1,0,0,0,0,0,17.73581375044587
2022-03-21,5.75,12,1,0,0,0,0,0,0,16.258459669413796
2022-03-20,2.0,7,0,0,0,0,0,0,1,11.035998242488272
2022-03-19,3.8,7,0,0,0,0,0,1,0,14.167753481592488
2022-03-18,3.1,12,0,0,0,0,1,0,0,20.674897432435817
2022-03-17,4.65,11,0,0,0,1,0,0,0,18.28850460376788
2022-03-16,5.05,15,0,0,1,0,0,0,0,18.748139432094458
2022-03-15,5.85,19,0,1,0,0,0,0,0,18.009690237794302
2022-03-14,5.15,15,1,0,0,0,0,0,0,16.389920383341043
2022-03-13,0.64,10,0,0,0,0,0,0,1,11.333975860723369
2022-03-12,5.3,15,0,0,0,0,0,1,0,13.839101696774367
2022-03-11,-5.19,14,0,0,0,0,1,0,0,22.49124629653063
2022-03-10,-9.15,23,0,0,0,1,0,0,0,21.31210102409459
2022-03-09,-13.2,19,0,0,1,0,0,0,0,22.746736147381597
2022-03-08,-9.4,11,0,1,0,0,0,0,0,21.350983383445197
2022-03-07,-1.29,8,1,0,0,0,0,0,0,17.800932046160177
2022-03-06,-3.0,14,0,0,0,0,0,0,1,12.131504191882009
2022-03-05,-5.9,12,0,0,0,0,0,1,0,16.293035023416337
2022-03-04,-8.19,20,0,0,0,0,1,0,0,23.148549866166874
2022-03-03,-7.9,34,0,0,0,1,0,0,0,21.038224536746156
2022-03-02,-6.75,15,0,0,1,0,0,0,0,21.333533472663675
2022-03-01,2.8,27,0,1,0,0,0,0,0,18.67794886692448
2022-02-28,0.5,24,1,0,0,0,0,0,0,17.408740916277218
2022-02-27,6.6,6,0,0,0,0,0,0,1,10.028132769046035
2022-02-26,1.1,12,0,0,0,0,0,1,0,14.759326694265106
2022-02-25,-5.7,22,0,0,0,0,1,0,0,22.602987903368792
2022-02-24,-7.44,35,0,0,0,1,0,0,0,20.937437989401936
2022-02-23,-18.14,35,0,0,1,0,0,0,0,23.829096025382608
2022-02-22,-22.25,41,0,1,0,0,0,0,0,24.1664336733871
2022-02-21,-21.5,26,1,0,0,0,0,0,0,22.228967093609658
2022-02-20,-12.8,22,0,0,0,0,0,0,1,14.278695852693732
