date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2022-04-02,11.7,3.19,4.84,-2,,-5,92,57.1,57,22,0.2,-5.6,-5,-10.2,30,14.12,16.5,3,64,36,101.77,101.25,101.36,100.95,88.86,88.4,88.51,88.17,56300,32166.7,40200,24100,2.9,2.5,2.6,2.3,13.2,0,0,0,0,0,0,0,,07:10:00,20:09:00,12.98,7.17,20.15,4,4,10,10,-4,-3,,,,,,8,5.9,4,0,,,,
2022-04-01,9.4,3.25,2.95,-3.5,,-5,70,44,47.5,25,-6.8,-8.5,-8.8,-10.8,22,10.38,12,2,32,14,101.69,101.45,101.47,101.25,88.76,88.55,88.57,88.38,56300,39879.2,40200,24100,3.1,2.6,2.7,2.3,15.1,0,0,0,0,0,0,0,,07:12:00,20:08:00,12.93,7.2,20.13,4,4,9,10,-1,0,,,,,,8,5.2,4,0,,,,
2022-03-31,8.1,3.55,4.25,0.4,,,90,48.4,56,22,-0.7,-7.4,-7.4,-14.1,34,19.58,19.5,5,72,34,101.33,101.08,101.11,100.88,88.47,88.29,88.33,88.18,56300,31658.3,32200,8100,2.5,2.4,2.4,2.2,13.8,0,0,0,0,0,0,0,0,07:14:00,20:06:00,12.87,7.23,20.1,3,3,7,7,-5,-1,,,,,,8,7.2,6.5,5,,,,
2022-03-30,17.7,6.59,7.1,-3.5,,-6,90,48.1,53.5,17,-0.6,-5.7,-5,-9.4,45,18.67,23.5,2,73,29,101.4,100.79,100.88,100.35,88.51,88.04,88.1,87.69,48300,29229.2,25750,3200,3.3,2.6,2.8,2.2,10.9,0,2.1,0.1,0,0.2,0,0,0,07:17:00,20:05:00,12.8,7.28,20.08,4,4,16,16,1,1,,,,,,8,5.8,4,0,,,,
2022-03-29,10.4,2.05,1.95,-6.5,,-7,94,61.8,59,24,-2.5,-6,-6.5,-10.5,18,9,9.5,1,31,34,102.07,101.79,101.76,101.46,89.02,88.81,88.79,88.57,64400,46600,44250,24100,2.8,2.5,2.5,2.1,16.1,0,0,0,0,0,0,0,1,07:19:00,20:03:00,12.73,7.32,20.05,3,3,7,7,-1,-1,,,,,,8,3.1,4.5,1,,,,
2022-03-28,3.8,-0.35,0.59,-2.6,,-8,91,80.3,76.5,62,-2.5,-3.4,-3.3,-4.1,39,23.67,26,13,50,36,101.69,100.88,101.08,100.46,88.88,88.04,88.33,87.78,24100,14160.9,13450,2800,2.5,2,2.1,1.8,17.4,0,0,0,0,0.3,,,0,07:21:00,20:01:00,12.67,7.35,20.02,3,3,7,7,-2,-1,,,,,,8,6.7,5,2,,,,
2022-03-27,15.3,4.69,5.45,-4.4,,-5,78,55.8,54.5,31,-2.2,-4.3,-4.7,-7.2,22,11,11.5,1,40,36,101.46,101.04,101.03,100.6,88.5,88.2,88.19,87.88,64400,46937.5,44250,24100,2.9,2.4,2.5,2.1,12.6,0,0.4,0,0,0,0,0,,07:23:00,20:00:00,12.62,7.38,20,3,3,12,12,1,3,,,,,,8,5.4,4.5,1,,,,
2022-03-26,6.1,0.14,-0.2,-6.5,,-10,87,61.9,65,43,-5.2,-6.7,-7,-8.7,21,10,11.5,2,29,14,102.12,101.86,101.81,101.5,89.09,88.86,88.81,88.54,64400,39541.7,44250,24100,2.3,2,2,1.7,18.2,0,0,0,0,0,0,0,0,07:26:00,19:58:00,12.53,7.43,19.97,3,3,9,9,-2,1,,,,,,8,5.6,4,0,,,,
2022-03-25,8.6,1.1,1.19,-6.2,,-8,83,57,58.5,34,-4.5,-7.1,-7.4,-10.3,24,12.17,12.5,1,36,13,102.75,102.22,102.3,101.85,89.64,89.18,89.26,88.88,64400,44250,44250,24100,3.1,2.4,2.5,1.8,16.8,0,0,0,0,0,0,0,0,07:28:00,19:56:00,12.47,7.47,19.93,3,3,5,5,-4,-4,,,,,,8,5.2,4,0,,,,
2022-03-24,5.7,1.62,1.5,-2.7,,-8,90,50.3,60,30,-1.6,-8.2,-7,-12.4,50,18.04,25.5,1,78,35,102.82,102.34,102.12,101.42,89.68,89.37,89.14,88.61,48300,26616.7,25750,3200,3.1,2.5,2.7,2.3,16.5,0,0,0,0,0.4,0,0.4,0,07:30:00,19:55:00,12.42,7.5,19.92,3,3,7,7,-5,-4,,,,,,8,5,4,0,,,,
2022-03-23,18.4,9.45,9.75,1.1,,,70,42.4,43,16,-0.8,-3.8,-4.4,-8,61,14.62,31.5,2,79,2,101.94,101.28,101.36,100.77,89.14,88.58,88.62,88.11,64400,37341.7,36250,8100,3.8,2.7,3,2.1,8.2,0,4.8,2.8,0,0,0,0,,07:32:00,19:53:00,12.35,7.53,19.88,3,4,17,17,1,2,,,,,,8,5.5,4.5,1,,,,
2022-03-22,15.2,8.02,7.1,-1,,,60,37.5,42.5,25,-2.5,-6,-5.8,-9.1,20,13.25,11.5,3,33,29,102.71,102.35,102.35,101.99,89.65,89.44,89.42,89.19,64400,43587.5,40250,16100,3.9,2.9,3.1,2.3,10.9,0,2.1,0.1,0,0,0,0,,07:35:00,19:51:00,12.27,7.58,19.85,3,3,15,16,5,5,,,,,,8,5.9,4,0,,,,
2022-03-21,11.2,4.91,5.75,0.3,,,44,31.3,33,22,-7.7,-11.1,-11.1,-14.4,32,20.17,18,4,49,30,102.41,101.94,102.09,101.77,89.43,89,89.12,88.81,64400,44925,44250,24100,3.5,2.8,3,2.6,12.2,0,0.8,0,0,0,0,0,0,07:37:00,19:50:00,12.22,7.62,19.83,3,3,10,10,-1,1,,,,,,6,3.1,3,0,,,,
2022-03-20,5.5,2.18,2,-1.5,,-9,93,54.2,59,25,-0.7,-7.1,-8,-15.2,44,25,25.5,7,58,35,101.83,101.18,101.03,100.23,88.82,88.33,88.21,87.6,64400,33333.3,33000,1600,3.1,2.5,2.7,2.3,16,0,0,0,0,0.6,0,0.8,0,07:39:00,19:48:00,12.15,7.65,19.8,1,1,4,6,-3,-3,,,,,,8,5.1,4.5,1,,,,
2022-03-19,11.8,4.35,3.8,-4.2,,-5,66,44.5,46.5,27,-4.6,-7.3,-7.2,-9.9,21,7.46,11,1,,,101.22,100.75,100.75,100.28,88.38,87.97,87.99,87.6,56300,36187.5,40200,24100,3.4,3,3,2.6,14.2,0,0,0,0,0,0,0,,07:41:00,19:46:00,12.08,7.68,19.77,3,3,11,11,0,1,,,,,,7,6.5,6,5,,,,
2022-03-18,10.3,4.37,3.1,-4.1,,-7,72,43.2,48,24,-4.1,-7.7,-7.7,-11.2,26,14.79,15,4,42,29,101.61,101.32,101.34,101.07,88.72,88.5,88.52,88.32,56300,37200,40200,24100,3.9,2.9,3.1,2.4,14.9,0,0,0,0,0,0,0,,07:44:00,19:45:00,12.02,7.73,19.75,3,3,10,10,-3,-2,,,,,,7,5.1,3.5,0,,,,
2022-03-17,12.1,5.14,4.65,-2.8,,-6,59,37.4,40.5,22,-7.1,-8.8,-8.7,-10.3,30,17.42,17.5,5,46,30,101.87,101.49,101.46,101.05,88.97,88.64,88.63,88.29,64400,37870.8,44250,24100,3.7,2.9,3.1,2.5,13.3,0,0,0,0,0,0,0,,07:46:00,19:43:00,11.95,7.77,19.72,3,3,11,11,-1,0,,,,,,8,4.8,4,0,,,,
2022-03-16,9.7,5.1,5.05,0.4,,,59,33.8,39,19,-6.2,-10.1,-9.9,-13.7,31,20.29,18,5,52,28,101.83,101.5,101.46,101.08,88.96,88.66,88.65,88.34,64400,39220.8,40250,16100,2.7,2.5,2.5,2.4,12.9,0,0,0,0,0,0,0,0,07:48:00,19:41:00,11.88,7.8,19.68,2,2,7,7,-2,-1,,,,,,7,4,3.5,0,,,,
2022-03-15,12.4,5.45,5.85,-0.7,,-2,80,53.4,51.5,23,-1.7,-4.4,-5.3,-8.9,37,15.79,19.5,2,64,28,101.1,100.68,100.66,100.22,88.32,87.95,87.95,87.58,64400,40704.2,37850,11300,3.2,2.5,2.6,2.1,12.2,0,0.8,0,0,0,0,0,0,07:50:00,19:40:00,11.83,7.83,19.67,3,3,12,12,1,2,,,,,,8,6.6,5.5,3,,,,
2022-03-14,12.7,4.23,5.15,-2.4,,-7,97,62.7,61,25,-1.6,-4.1,-4.5,-7.5,31,14.79,17.5,4,53,26,101.45,101.21,101.22,100.99,88.5,88.34,88.35,88.2,64400,28825,32400,400,2.8,2.5,2.6,2.4,12.8,0,0.2,0,0,0,0,0,0,07:53:00,19:38:00,11.75,7.88,19.63,3,3,11,11,2,3,,,,,,8,7.6,7,6,,,,
2022-03-13,3.5,0.49,0.64,-2.2,,-5,93,72.3,73.5,54,-1.4,-4.1,-4.8,-8.2,17,9.96,9,1,32,14,101.5,101,101.12,100.73,88.54,88.13,88.23,87.92,64400,31052.2,35400,6400,3.2,2.7,2.8,2.3,17.4,0,0,0,0,0,0,0,1,07:55:00,19:36:00,11.68,7.92,19.6,2,2,2,2,-2,-1,,,,,,8,7.5,7,6,,,,
2022-03-12,9.5,4.66,5.3,1.1,,,66,41,45.5,25,-4.3,-8,-7.3,-10.3,31,18.38,18,5,53,29,100.89,100.78,100.78,100.66,88.13,87.99,87.98,87.84,64400,38875,44250,24100,2.8,2.6,2.6,2.4,12.7,0,0.3,0,0,0,0,0,2,06:57:00,18:35:00,11.63,6.95,18.58,3,3,7,8,-2,-2,,,,,,8,6.8,5.5,3,,,,
2022-03-11,5.2,-6.03,-5.19,-15.6,,-22,84,63.1,60.5,37,-7.4,-12.6,-12.6,-17.7,28,14.5,18,8,54,28,102.71,101.87,101.78,100.86,89.3,88.64,88.62,87.94,64400,41220.8,44250,24100,3.3,3.1,3,2.7,23.2,0,0,0,0,0,0,0,4,06:59:00,18:33:00,11.57,6.98,18.55,3,3,5,5,-3,1,,,,,,8,5.7,4,0,,,,
2022-03-10,-4.4,-8.06,-9.15,-13.9,,-21,77,52,51.5,26,-14.3,-17,-18.2,-22.2,34,17.79,21.5,9,54,36,102.71,102.31,102.17,101.64,89.38,89.02,88.91,88.44,64400,39362.5,37850,11300,3.2,3,3,2.7,27.1,0,0,0,0,0,0,0,4,07:01:00,18:31:00,11.5,7.02,18.52,2,2,-3,-3,-14,-13,,,,,,8,4.2,4,0,,,,
